bc404_att_length | 167.8| cm | BC-404 scintillator attenuation length used for panel-1b counters #1 to #31  | D. Carman | carman@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.25.L | 67.54| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.25.phi | 75.37 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.26.X | 79.82| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.26.ZH | 195.48| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.26.Z | 245.61| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.26.L | 67.54| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.26.phi | 73.28 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.27.X | 82.06| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.27.ZH | 194.44| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.27.Z | 244.57| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.27.L | 72.69| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.27.phi | 76.71 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.28.X | 84.28| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.28.ZH | 193.41| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.28.Z | 243.54| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.28.L | 72.69| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.28.phi | 74.69 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.29.X | 86.52| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.29.ZH | 192.36| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.29.Z | 242.49| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.29.L | 77.83| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.29.phi | 77.91 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.30.X | 88.73| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.30.ZH | 191.33| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.30.Z | 241.46| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.30.L | 77.83| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.30.phi | 75.96 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.31.X | 90.97| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.31.ZH | 190.29| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.31.Z | 240.41| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.31.L | 82.97| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.31.phi | 78.99 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.32.X | 93.19| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.32.ZH | 189.25| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.32.Z | 239.38| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.32.L | 82.97| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.32.phi | 77.11 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.33.X | 95.42| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.33.ZH | 188.21| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.33.Z | 238.34| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.33.L | 88.12| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.33.phi | 79.97 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.34.X | 97.64| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.34.ZH | 187.18| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.34.Z | 237.30| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.34.L | 88.12| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.34.phi | 78.15 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.35.X | 99.88| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.35.ZH | 186.13| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.35.Z | 236.26| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.35.L | 93.26| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.35.phi | 80.86 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.36.X | 102.10| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.36.ZH | 185.10| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.36.Z | 235.23| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.36.L | 93.26| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.36.phi | 79.11 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.37.X | 104.33| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.37.ZH | 184.05| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.37.Z | 234.18| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.37.L | 98.40| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.37.phi | 81.68 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.38.X | 106.55| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.38.ZH | 183.02| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.38.Z | 233.15| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.38.L | 98.40| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.38.phi | 79.98 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.39.X | 108.79| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.39.ZH | 181.98| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.39.Z | 232.11| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.39.L | 103.55| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.39.phi | 82.43 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.40.X | 111.01| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.40.ZH | 180.94| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.40.Z | 231.07| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.40.L | 103.55| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.40.phi | 80.78 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.41.X | 113.24| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.41.ZH | 179.90| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.41.Z | 230.03| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.41.L | 108.69| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.41.phi | 83.12 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.42.X | 115.46| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.42.ZH | 178.87| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.42.Z | 229.00| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.42.L | 108.69| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.42.phi | 81.53 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.43.X | 117.70| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.43.ZH | 177.82| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.43.Z | 227.95| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.43.L | 113.83| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.43.phi | 83.76 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.44.X | 119.91| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.44.ZH | 176.79| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.44.Z | 226.92| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.44.L | 113.83| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.44.phi | 82.21 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.45.X | 122.15| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.45.ZH | 175.75| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.45.Z | 225.87| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.45.L | 118.98| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.45.phi | 84.35 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.46.X | 124.37| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.46.ZH | 174.71| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.46.Z | 224.84| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.46.L | 118.98| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.46.phi | 82.85 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.47.X | 126.61| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.47.ZH | 173.67| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.47.Z | 223.80| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.47.L | 124.12| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.47.phi | 84.90 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.48.X | 128.82| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.48.ZH | 172.64| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.48.Z | 222.77| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.48.L | 124.12| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.48.phi | 83.44 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.49.X | 131.06| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.49.ZH | 171.59| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.49.Z | 221.72| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.49.L | 129.27| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.49.phi | 85.42 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.50.X | 133.28| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.50.ZH | 170.56| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.50.Z | 220.69| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.50.L | 129.27| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.50.phi | 84.00 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.51.X | 135.51| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.51.ZH | 169.51| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.51.Z | 219.64| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.51.L | 134.41| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.51.phi | 85.90 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.52.X | 137.73| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.52.ZH | 168.48| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.52.Z | 218.61| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.52.L | 134.41| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.52.phi | 84.51 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.53.X | 139.97| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.53.ZH | 167.44| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.53.Z | 217.57| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.53.L | 139.55| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.53.phi | 86.35 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.54.X | 142.19| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.54.ZH | 166.41| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.54.Z | 216.53| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.54.L | 139.55| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.54.phi | 85.00 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.55.X | 144.42| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.55.ZH | 165.36| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.55.Z | 215.49| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.55.L | 144.70| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.55.phi | 86.77 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.56.X | 146.64| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.56.ZH | 164.33| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.56.Z | 214.46| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.56.L | 144.70| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.56.phi | 85.45 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.57.X | 148.88| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.57.ZH | 163.28| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.57.Z | 213.41| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.57.L | 149.84| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.57.phi | 87.16 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.58.X | 151.10| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.58.ZH | 162.25| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.58.Z | 212.38| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.58.L | 149.84| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.58.phi | 85.88 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.1.X | 150.1444094| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.1.Z | 206.1602205| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.1.L | 146.18| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.2.X | 154.6888976| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.2.Z | 198.649| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.2.L | 151.58| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.3.X | 159.2893307| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.3.Z | 191.1716378| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.3.L | 156.98| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.4.X | 163.7781496| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.4.Z | 183.6267165| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.4.L | 162.39| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.5.X | 168.3234252| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.5.Z | 176.1142362| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.2.5.L | 167.79| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
